Country,Continent,area,pop,god
Afghanistan,5,648,16,2
Albania,3,29,3,2
Algeria,4,2388,20,2
American-Samoa,6,0,0,1
Andorra,3,0,0,0
Angola,4,1247,7,5
Anguilla,1,0,0,1
Antigua-Barbuda,1,0,0,1
Argentina,2,2777,28,0
Argentine,2,2777,28,0
Australia,6,7690,15,1
Austria,3,84,8,0
Bahamas,1,19,0,1
Bahrain,7,1,0,2
Bangladesh,5,143,90,2
Barbados,1,0,0,1
Belgium,3,31,10,0
Belize,1,23,0,1
Benin,4,113,3,5
Bermuda,1,0,0,1
Bhutan,5,47,1,3
Bolivia,2,1099,6,0
Botswana,4,600,1,5
Brazil,2,8512,119,0
British-Virgin-Isles,1,0,0,1
Brunei,5,6,0,2
Bulgaria,3,111,9,1
Burkina,4,274,7,5
Burma,5,678,35,3
Burundi,4,28,4,5
Cameroon,4,474,8,1
Canada,1,9976,24,1
Cape-Verde-Islands,4,4,0,0
Cayman-Islands,1,0,0,1
Central-African-Republic,4,623,2,5
Chad,4,1284,4,5
Chile,2,757,11,0
China,5,9561,1008,3
Colombia,2,1139,28,0
Comorro-Islands,4,2,0,2
Congo,4,342,2,5
Cook-Islands,6,0,0,1
Costa-Rica,1,51,2,0
Cuba,1,115,10,0
Cyprus,7,9,1,1
Czechoslovakia,3,128,15,0
Denmark,3,43,5,1
Djibouti,4,22,0,2
Dominica,1,0,0,1
Dominican-Republic,1,49,6,0
Ecuador,2,284,8,0
Egypt,4,1001,47,2
El-Salvador,1,21,5,0
Equatorial-Guinea,4,28,0,5
Ethiopia,4,1222,31,1
Faeroes,3,1,0,1
Falklands-Malvinas,2,12,0,1
Fiji,6,18,1,1
Finland,3,337,5,1
France,3,547,54,0
French-Guiana,2,91,0,0
French-Polynesia,6,4,0,0
Gabon,4,268,1,5
Gambia,4,10,1,5
Germany,3,349,83,1
Ghana,4,239,14,5
Gibraltar,3,0,0,1
Greece,3,132,10,1
Greenland,1,2176,0,1
Grenada,1,0,0,1
Guam,6,0,0,1
Guatemala,1,109,8,0
Guinea,4,246,6,2
Guinea-Bissau,4,36,1,5
Guyana,2,215,1,4
Haiti,1,28,6,0
Honduras,1,112,4,0
Hong-Kong,5,1,5,3
Hungary,3,93,11,0
Iceland,3,103,0,1
India,5,3268,684,4
Indonesia,6,1904,157,2
Iran,7,1648,39,2
Iraq,7,435,14,2
Ireland,3,70,3,0
Israel,7,21,4,7
Italy,3,301,57,0
Ivory-Coast,4,323,7,5
Jamaica,1,11,2,1
Japan,5,372,118,7
Jordan,7,98,2,2
Kampuchea,5,181,6,3
Kenya,4,583,17,5
Kiribati,6,0,0,1
Kuwait,7,18,2,2
Laos,5,236,3,3
Lebanon,7,10,3,2
Lesotho,4,30,1,5
Liberia,4,111,1,5
Libya,4,1760,3,2
Liechtenstein,3,0,0,0
Luxembourg,3,3,0,0
Malagasy,4,587,9,1
Malawi,4,118,6,5
Malaysia,5,333,13,2
Maldive-Islands,5,0,0,2
Mali,4,1240,7,2
Malta,3,0,0,0
Marianas,6,0,0,1
Mauritania,4,1031,2,2
Mauritius,4,2,1,4
Mexico,1,1973,77,0
Micronesia,6,1,0,1
Monaco,3,0,0,0
Mongolia,5,1566,2,3
Montserrat,1,0,0,1
Morocco,4,447,20,2
Mozambique,4,783,12,5
Nauru,6,0,0,1
Nepal,5,140,16,4
Netherlands,3,41,14,1
Netherlands-Antilles,1,0,0,1
New-Zealand,6,268,2,1
Nicaragua,1,128,3,0
Niger,4,1267,5,2
Nigeria,4,925,56,2
Niue,6,0,0,1
North-Korea,5,121,18,7
North-Yemen,7,195,9,2
Norway,3,324,4,1
Oman,7,212,1,2
Pakistan,5,804,84,2
Panama,2,76,2,0
Papua-New-Guinea,6,463,3,5
Parguay,2,407,3,0
Peru,2,1285,14,0
Philippines,6,300,48,0
Poland,3,313,36,0
Portugal,3,92,10,0
Puerto-Rico,1,9,3,0
Qatar,7,11,0,2
Romania,3,237,22,6
Rwanda,4,26,5,5
San-Marino,3,0,0,0
Sao-Tome,4,0,0,0
Saudi-Arabia,7,2150,9,2
Senegal,4,196,6,2
Seychelles,4,0,0,1
Sierra-Leone,4,72,3,5
Singapore,5,1,3,3
Soloman-Islands,6,30,0,1
Somalia,4,637,5,2
South-Africa,4,1221,29,1
South-Korea,5,99,39,7
South-Yemen,7,288,2,2
Spain,3,505,38,0
Sri-Lanka,5,66,15,3
St-Helena,4,0,0,1
St-Kitts-Nevis,1,0,0,1
St-Lucia,1,0,0,1
St-Vincent,1,0,0,1
Sudan,4,2506,20,2
Surinam,2,63,0,1
Swaziland,4,17,1,1
Sweden,3,450,8,1
Switzerland,3,41,6,1
Syria,7,185,10,2
Taiwan,5,36,18,3
Tanzania,4,945,18,5
Thailand,5,514,49,3
Togo,4,57,2,7
Tonga,6,1,0,1
Trinidad-Tobago,2,5,1,1
Tunisia,4,164,7,2
Turkey,5,781,45,2
Turks-Cocos-Islands,1,0,0,1
Tuvalu,6,0,0,1
UAE,7,84,1,2
Uganda,4,236,13,5
UK,3,245,56,1
Uruguay,2,178,3,0
US-Virgin-Isles,1,0,0,1
USA,1,9363,231,1
USSR,5,22402,274,1
Vanuatu,6,15,0,1
Vatican-City,3,0,0,0
Venezuela,2,912,15,0
Vietnam,5,333,60,3
Western-Samoa,6,3,0,1
Yugoslavia,3,256,22,1
Zaire,4,905,28,5
Zambia,4,753,6,5
Zimbabwe,4,391,8,5